name,product_id,brand_id,price_current,price_old,discount_pct,discount_amount,installment_6m,installment_12m,installment_18m,in_stock,special_offer,category,url,image_url,offset
HONOR Pad X8a 4/64GB,20240926020149592,93,269.99,299.99,10%,-30,54.5,27.25,20.17,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240926020149592-honor-pad-x8a-4-64gb.html,https://soliton.az/images/articles/2024/09/26/thumb400x400-20240926020149592.jpg?2024-12-04+12%3A12%3A40,15
HONOR PAD X9A 8/256GB LTE,20260119114202809,93,629.99,699.99,10%,-70,127.17,63.58,47.06,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20260119114202809-honor-pad-x9a-8-256gb-lte.html,https://soliton.az/images/articles/2026/01/19/thumb400x400-20260119114202809.jpg?2026-02-02+09%3A52%3A01,15
HONOR Pad X9 (LTE) 4GB/64GB,20240704043839526,93,449.99,499.99,10%,-50,90.83,45.42,33.61,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240704043839526-honor-pad-x9-lte-4gb-64gb.html,https://soliton.az/images/articles/2024/07/04/thumb400x400-20240704043839526.jpg?2024-09-16+10%3A39%3A08,15
HONOR Pad X9 (LTE) 4GB/128GB,20240704042942354,93,549.99,599.99,8%,-50,109,54.5,40.33,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240704042942354-honor-pad-x9-lte-4gb-128gb.html,https://soliton.az/images/articles/2024/07/04/thumb400x400-20240704042942354.jpg?2024-11-01+11%3A34%3A32,15
HONOR Pad 9 (LTE) 8GB/128GB,20240704041930811,93,619.99,699.99,11%,-80,127.17,63.58,47.06,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240704041930811-honor-pad-9-lte-8gb-128gb.html,https://soliton.az/images/articles/2024/07/04/thumb400x400-20240704041930811.jpg?2024-12-02+16%3A39%3A04,15
SAMSUNG GALAXY TAB S9 FE+ 8/128GB GRAY,20240530045056417,23,1349.99,1499.99,10%,-150,272.5,136.25,95.83,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240530045056417-samsung-galaxy-tab-s9-fe-8-128gb-gray.html,https://soliton.az/images/articles/2024/05/30/thumb400x400-20240530045056417.jpg?2025-04-30+09%3A54%3A23,15
SAMSUNG GALAXY TAB S6 Lite 2024 4/128GB GRAY,20240415035215013,23,719.99,799.99,10%,-80,145.33,72.67,53.78,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20240415035215013-samsung-galaxy-tab-s6-lite-2024-4-128gb-gray.html,https://soliton.az/images/articles/2024/04/15/thumb400x400-20240415035215013.jpg?2026-01-31+14%3A46%3A15,15
SAMSUNG GALAXY TAB A9+ WI-FI 8/128GB SILVER,20231117055200753,23,449.99,499.99,10%,-50,90.83,45.42,33.61,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20231117055200753-samsung-galaxy-tab-a9-wi-fi-8-128gb-silver.html,https://soliton.az/images/articles/2023/11/17/thumb400x400-20231117055200753.jpg?2026-01-31+14%3A45%3A15,15
SAMSUNG GALAXY TAB A9 WI-FI 4/64GB,20231117054225508,23,269.99,299.99,10%,-30,54.5,27.25,20.17,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20231117054225508-samsung-galaxy-tab-a9-wi-fi-4-64gb.html,https://soliton.az/images/articles/2023/11/17/thumb400x400-20231117054225508.jpg?2025-04-30+09%3A52%3A35,15
SAMSUNG Galaxy Tab S9 FE SM-X516,20231006124456684,23,1079.99,1199.99,10%,-120,218,109,76.67,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20231006124456684-samsung-galaxy-tab-s9-fe-sm-x516.html,https://soliton.az/images/articles/2023/10/06/thumb400x400-20231006124456684.jpg?2025-04-30+09%3A54%3A06,30
