name,brand,sku,price_current,price_old,discount_pct,discount_amount,installment,category,url,image_url,page
HUAWEI MatePad 11.5 PaperMatte Edition WIFI Only 8/256 GB Space Gray Keyboard,HUAWEI,TM-DG-TBQ-1105-TB-0667,749.99,899.99,,150,0% 6 ay,Planşetlər,https://kontakt.az/huawei-matepad-11-5-papermatte-edition-wifi-only-8-256-gb-space-gray-keyboard,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0667_234.png,3
Samsung Galaxy Tab A9+ (SM-X216B) 4/64 GB Silver,Samsung,TM-DG-TBQ-1105-TB-0595,379.99,,,260,0% 12 ay,Planşetlər,https://kontakt.az/samsung-galaxy-tab-a9-sm-x216b-4-64-gb-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0595_1.png,3
iPad Mini 7 Wi-Fi + Cellular 256 GB Space Grey,Apple,TM-DG-TBQ-1105-TB-0643,1849.99,2.149.99,,300,0% 12 ay,Planşetlər,https://kontakt.az/ipad-mini-7-wi-fi-cellular-256-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0643_1.png,3
iPad Mini 7 Wi-Fi + Cellular 128 GB Space Grey,Apple,TM-DG-TBQ-1105-TB-0639,1599.99,1.849.99,,250,0% 12 ay,Planşetlər,https://kontakt.az/ipad-mini-7-wi-fi-cellular-128-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0639_1.png,3
HUAWEI Matepad SE 11 WI-FI 6/128 GB Nebula Gray,HUAWEI,TM-DG-TBQ-1105-TB-0607,269.99,429.99,,160,0% 6 ay,Planşetlər,https://kontakt.az/huawei-matepad-se-11-wi-fi-6-128-gb-nebula-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0607_1.png,3
iPad Mini Wi-Fi + Cellular 128 GB Space Grey MXPN3QA/A,Apple,TM-DG-TBQ-1105-TB-0626,0.01,,,0,,Planşetlər,https://kontakt.az/ipad-mini-wi-fi-cellular-128-gb-space-grey-mxpn3qa-a,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0626_1.png,3
Samsung Galaxy Tab S10 Plus 12/256 GB (SM-X826B) Gray,Samsung,TM-DG-TBQ-1105-TB-0597,2199.99,2.549.99,,350,0% 12 ay,Planşetlər,https://kontakt.az/samsung-galaxy-tab-s10-plus-12-256-gb-sm-x826b-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0597_1.png,3
HUAWEI Matepad SE 11 LTE 8/128 GB Nebula Gray,HUAWEI,TM-DG-TBQ-1105-TB-0581,379.99,499.99,,120,0% 6 ay,Planşetlər,https://kontakt.az/huawei-matepad-se-11-lte-8-128-gb-nebula-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0581_1_1_.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 64 GB Yellow,Apple,TM-DG-TBQ-1105-TB-0367,1249.99,1.299.99,,50,0% 12 ay,Planşetlər,https://kontakt.az/ipad-10-9-inch-64-gb-10-gen-wi-fi-cellular-yellow,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0367_13_2_.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 256 GB Yellow,Apple,TM-DG-TBQ-1105-TB-0371,1499.99,1.599.99,,100,0% 12 ay,Planşetlər,https://kontakt.az/ipad-10-9-inch-256-gb-10-gen-wi-fi-cellular-yellow,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0371-01.png,3
iPad 10.9-inch (10 Gen) Wi-Fi + Cellular 64 GB Blue,Apple,TM-DG-TBQ-1105-TB-0366,1199.99,1.299.99,,100,0% 12 ay,Planşetlər,https://kontakt.az/ipad-10-9-inch-10-gen-64-gb-wi-fi-cellular-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-036655.png,3
