name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
Xiaomi Redmi Pad 2 8GB/256GB Graphite Gray,6053,Planşetlər,399,449,22.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-redmi-pad-2-8gb-256gb-graphite-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=11cebe94-08cb-45fe-abf4-49a619c2fe2a.png,2
HONOR Pad X9a 6GB/128GB Gray,6050,Planşetlər,399,449,22.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x9a-6gb-128gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=bc9cdca3-4d10-4998-ba2c-98bdaa2d3a65.png,2
HONOR Pad X9a LTE 8GB/256GB Gray,6049,Planşetlər,499,549,27.72,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x9a-lte-8gb-256gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=8750b99d-e980-4930-aae1-7c1dffced420.png,3
HONOR Pad 9 (LTE) 8GB/128GB Space Gray,6048,Planşetlər,619,699,34.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-9--lte--8gb-128gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=a8b2c28b-6106-40f3-aeb3-57c8d607bf27.png,3
HONOR Pad 9 8GB/128GB WI-FI Space Gray,6047,Planşetlər,549,599,30.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-9-8gb-128gb-wi-fi-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=64c76812-ed35-4086-9a78-d26fb0a0d5ae.png,3
HONOR Pad X7 (LTE) 4GB/128GB Gray,6046,Planşetlər,239,269,13.28,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x7--lte--4gb-128gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=96dc72f8-4f1c-4c8c-8397-83e9b080b761.png,3
HONOR Pad V9 8GB/256GB Gray (Case+Pen),6043,Planşetlər,869,969,48.28,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-v9-8gb-256gb-gray--case-pen,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=022a3bd9-45e7-4b91-a8d7-4b385cc35b21.png,3
HONOR Pad V9 8GB/256GB Gray,6042,Planşetlər,799,899,44.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-v9-8gb-256gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=7c829513-8b26-48bc-99f4-280b7bf40e62.webp,3
HONOR Pad 10 8GB/256GB Gray,6041,Planşetlər,669,749,37.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-10-8gb-256gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=6ebb59e6-2cf4-43bc-a655-e0c81ca5f7f1.png,3
HONOR Pad 10 8GB/128GB Gray,6040,Planşetlər,579,649,32.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-10-8gb-128gb-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=476b0962-a16b-404c-80ec-d14c1a66cb55.png,3
