name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 256 ...",2761,Planşetlər,1469,1649,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--256-gb-starlight,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=fc207e3e-950a-4d56-918c-736fbd5e23a6.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 256 ...",2760,Planşetlər,1469,1649,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--256-gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=4bbe3cb1-8d0f-487d-a499-01a98f62fc60.webp,8
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 128 ...",2759,Planşetlər,1159,1309,64.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--128-gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=1d8d6f7b-ee36-4342-ac06-df2feaf91b32.webp,8
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 128 ...",2757,Planşetlər,1159,1309,64.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--128-gb-purple,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f4c98eb9-f7d2-4c8c-8dcf-85dd8783687e.webp,8
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 128 ...",2756,Planşetlər,1159,1309,64.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--128-gb-starlight,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=25a5f49f-be89-4b34-95ea-207d7917fba6.webp,8
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 128 ...",2755,Planşetlər,1159,1309,64.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--128-gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=5f8c2112-5ce3-4971-a5be-cad7ce55362f.webp,8
HONOR Pad X8a LTE 4GB/64GB Space Gray,2734,Planşetlər,279,349,15.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x8a-lte-4gb-64gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=733670cb-c0e7-4d3f-956e-9d3a6449fdd4.png,8
Xiaomi Redmi Pad Pro 6GB/128GB Graphite Gray WIFI,2615,Planşetlər,519,569,28.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-redmi-pad-pro-6gb-128gb-graphite-gray-wifi,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=27f2d101-a2ce-4f76-8ff1-57c7550e73f3.webp,8
HONOR Pad X8a 4GB/128GB Space Gray,2605,Planşetlər,329,399,18.28,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x8a-4gb-128gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=3090c485-610d-4a10-89d5-2d548fdabf29.png,8
HONOR Pad X8a 4GB/64GB Space Gray,2604,Planşetlər,249,299,13.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x8a-4gb-64gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f2ca534a-27da-481a-b6d7-b4f1c55129c8.png,8
HONOR Pad X8a LTE 4GB/128GB Space Gray,2603,Planşetlər,369,449,20.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x8a-lte-4gb-128gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=e7e5915b-5377-4f26-aaa9-94535f62ae84.png,9
Samsung Galaxy Tab A9 (SM-X110) Wifi 4GB/64GB Dark...,2160,Planşetlər,239,,13.28,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/samsung-galaxy-tab-a9--sm-x110--wifi-4gb-64gb-dark-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=1fb5a0f9-a8e1-4cd9-bfb4-131bd28d3ed2.png,9
Xiaomi Redmi Pad SE 8GB/256GB Mint Green,2157,Planşetlər,359,,19.94,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-redmi-pad-se-8gb-256gb-mint-green,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=e1ff390a-340a-4491-af30-bb58c841dde6.png,9
HONOR Pad 9 8GB/128GB WI-FI Cyan Lake,2049,Planşetlər,549,599,30.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-9-8gb-128gb-wi-fi-cyan-lake,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=c0c29a83-9421-4086-9ca1-38435561d87e.png,9
HONOR Pad X9 4GB/128GB Space Gray,2046,Planşetlər,499,549,27.72,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x9-4gb-128gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=31227e95-ac06-40c1-a502-925f254554ce.png,9
"HONOR Pad X9 LTE 11.5"" 4GB/128 GB Space Gray",2033,Planşetlər,519,569,28.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-x9-lte-11.5--4gb-128-gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=e16371ec-4cb7-4d92-ad6c-5545187f6f60.png,9
"Apple iPad Pro 11"" M4 Wi-Fi 8/256 GB Silver",742,Planşetlər,2199,2469,122.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-pro-11--m4-wi-fi-8-256-gb-silver,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=4d28c409-8475-4e8c-947f-04a9ba28576e.webp,9
"Apple iPad Pro 11"" M4 Wi-Fi 8/256 GB Space Black",741,Planşetlər,2199,2469,122.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-pro-11--m4-wi-fi-8-256-gb-space-black,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=653bd602-e609-4e4b-af65-65bdc12c5ff2.webp,9
