name,product_id,sku,price_current,price_old,discount_amount,installment_monthly,installment_term,quantity,review_count,rating,is_online,campaign,url,image_url,page
Planşet Apple iPad 11-inch 256GB Silver Wi-Fi (2025),111681,218124,1149.99,1329.99,180,191.66,6 ay,21,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-ipad-11-inch-ipad-256gb-silver-wifi-2025-218124,https://media.bakuelectronics.az/media/inventImages/Apple_iPad_11-inch_1_REmOjHR.webp,2
Planşet LENOVO TAB 4GB/128GB Grey Wi-Fi,109658,216159,379.99,429.99,50,63.33,6 ay,107,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-tab-4128gb-grey-wifi-216159,https://media.bakuelectronics.az/media/inventImages/Planşet_LENOVO_TAB_4GB128GB_GREY_WIFI_1.webp,2
Planşet Lenovo Tab M11 4GB/128GB LTE GREY,87722,215105,449.99,499.99,50,75,6 ay,29,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-tab-m11-11-4128gb-lte-grey-215105,https://media.bakuelectronics.az/media/inventImages/Planşet_Lenovo_Tab_M11_4GB128GB_LTE_GREY_1.jpg,2
Planşet HUAWEI MatePad SE 11 8GB/128GB NEBULA GRAY LTE,87481,214955,379.99,499.99,120,63.33,6 ay,26,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/tablet-matepad-se-11-8128gb-nebula-gray-lte-214955,https://media.bakuelectronics.az/media/inventImages/Planşet_HUAWEI_MatePad_SE_11_8GB128GB_NEBULA_GRAY_LTE_1.jpg,2
Planşet HUAWEI MatePad SE 11 6GB/128GB NEBULA GRAY Wi-Fi,87480,214954,279.99,399.99,120,46.66,6 ay,48,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/tablet-matepad-se-11-6128gb-nebula-gray-wifi-214954,https://media.bakuelectronics.az/media/inventImages/Planşet_HUAWEI_MatePad_SE_11_8GB128GB_NEBULA_GRAY_LTE_1_aei40d3.jpg,2
Planşet Lenovo Tab Plus 8GB/256GB Wi-Fi Luna Grey,83009,214240,599.99,699.99,100,100,6 ay,19,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-tab-plus-8gb256gb-wifi-luna-grey-214240,https://media.bakuelectronics.az/media/inventImages/planset-lenovo-tab-plus-8gb256gb-luna-grey_1.webp,3
Planşet Lenovo Tab M11 8GB/128GB LTE GREY,83008,214239,499.99,559.99,60,83.33,6 ay,12,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-tab-m11-11-8128gb-lte-grey-214239,https://media.bakuelectronics.az/media/inventImages/lenovo-tab-m11-11-8128gb-6.jpg,3
Planşet INFINIX XPAD LTE X1101B 8GB/256GB STELLAR GREY,81594,213125,499.99,549.99,50,83.33,6 ay,2,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-infinix-xpad-lte-x1101b-8256gb-stellar-grey-213125,https://media.bakuelectronics.az/media/inventImages/inventImages/infinix-xpad-stellar-grey.webp,3
Planşet Samsung Galaxy Tab S10+ 12GB/256GB GRAY (X826),71790,212657,2319.99,2569.99,250,386.66,6 ay,2,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x826-12256gb-gray-212657,https://media.bakuelectronics.az/media/inventImages/inventImages/planşet-samsung-galaxy-tab-s10-12gb256gb-gray-x826-1.webp,3
Planşet Samsung Galaxy Tab A9+ 4GB/64GB GRAY 5G LTE (X216),72012,211428,569.99,639.99,70,95,6 ay,4,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x216-464gb-gray-5g-lte-211428,https://media.bakuelectronics.az/media/inventImages/samsung-galaxy-tab-a9-4gb64gb-gray-1.webp,3
Planşet Samsung Galaxy Tab A9+ 4GB/64GB DARK BLUE 5G LTE (X216),72011,211427,569.99,639.99,70,95,6 ay,3,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x216-464gb-dark-blue-5g-lte-211427,https://media.bakuelectronics.az/media/inventImages/samsung-galaxy-tab-a9-dark-blue-5g-lte-x216-1.webp,3
Planşet Samsung Galaxy Tab A9 4GB/64GB DARK BLUE LTE (X115),71879,211422,339.99,379.99,40,56.66,6 ay,5,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x115-464gb-dark-blue-lte-211422,https://media.bakuelectronics.az/media/inventImages/inventImages/samsung-galaxy-tab-a9-4gb128gb-dark-blue-1_eEsGmrI.webp,3
"Planşet Xiaomi LCD Writing Tablet 13.5"" (Color Edition) - BHR7278GL",69154,210928,69.99,69.99,0,11.66,6 ay,33,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-xiaomi-lcd-writing-tablet-135-color-edition-bhr7278gl-210928,https://media.bakuelectronics.az/media/inventImages/planset-xiaomi-lcd-writing-tablet-135-color-edition-bhr7278gl_1.webp,3
Planşet Samsung Galaxy Tab A9 Plus 8GB/128GB LTE GREY (X216B),74098,204858,569.99,629.99,60,95,6 ay,1,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x216b-8gb128gb-lte-grey-204858,https://media.bakuelectronics.az/media/inventImages/inventImages/samsung-galaxy-tab-a9-plus-8gb128gb-lte-grey-1.webp,3
Planşet Samsung Galaxy Tab S6 Lite Wi-Fi 4GB/128GB PINK 2024 (P620),61705,203158,719.99,799.99,80,120,6 ay,1,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-pink-2024-p620-203158,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-pink-2024-p620_1.webp,3
Planşet Samsung Galaxy Tab S6 Lite Wi-Fi 4GB/128GB GRAY 2024 (P620),61704,203157,719.99,799.99,80,120,6 ay,2,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-gray-2024-p620-203157,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-gray-2024-p620_1.webp,3
Planşet Samsung Galaxy Tab S6 Lite Wi-Fi 4GB/128GB LIGHT GREEN 2024 (P620),61703,203156,719.99,799.99,80,120,6 ay,2,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-light-green-2024-p620-203156,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s6-lite-wi-fi-4gb128gb-light-green-2024-p620_1.webp,3
Planşet Lenovo Tab M9 4GB/64GB GREY,60409,201783,329.99,369.99,40,55,6 ay,35,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-lenovo-tab-m9-4gb64gb-grey-201783,https://media.bakuelectronics.az/media/inventImages/planset-lenovo-tab-m9-4gb64gb-grey_1.webp,3
Planşet Samsung Galaxy Tab A9 Plus Wi-Fi 8GB/128GB GRAY (X210),54324,194818,449.99,499.99,50,75,6 ay,1,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-a9-plus-wi-fi-8gb128gb-gray-x210-194818,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-a9-plus-wi-fi-8gb128gb-gray-x210_1.webp,3
Planşet Samsung Galaxy Tab A9 Plus Wi-Fi 4GB/64GB GRAY (X210),55375,194815,399.99,449.99,50,66.66,6 ay,8,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-a9-plus-wi-fi-4gb64gb-gray-x210-194815,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-a9-plus-wi-fi-4gb64gb-gray-x210_1.webp,3
Planşet Samsung Galaxy Tab A9 Wi-Fi 8GB/128GB GRAY (X110),84407,194812,389.99,429.99,40,65,6 ay,2,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-a9-wi-fi-8gb128gb-gray-x110-194812,https://media.bakuelectronics.az/media/inventImages/samsung-galaxy-tab-a9-10.webp,3
Planşet Samsung Galaxy Tab S9 FE 6GB/128GB 5G SILVER (X516),55219,194431,979.99,1099.99,120,163.33,6 ay,1,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x516-128gb-5g-silver-194431,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s9-fe-6gb128gb-5g-silver-x516_1.webp,3
Planşet Samsung Galaxy Tab S9 8GB/128GB BEIGE (X716),53093,192292,1439.99,1599.99,160,240,6 ay,1,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-s9-8gb128gb-beige-x716-192292,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s9-8gb128gb-beige-x716_1.webp,3
Planşet Samsung Galaxy Tab S9 8GB/128GB GRAPHITE GRAY (X716),53092,192291,1439.99,1599.99,160,240,6 ay,3,0,0,False,Sözlərin yetmədiyi yerdə hədiyyəniz desin ki: “Sən belə sevirsən”!,https://www.bakuelectronics.az/az/mehsullar/planset-samsung-galaxy-tab-s9-8gb128gb-graphite-gray-x716-192291,https://media.bakuelectronics.az/media/inventImages/planset-samsung-galaxy-tab-s9-8gb128gb-graphite-gray-x716_1.webp,4
