name,product_id,price_current,price_old,discount_pct,installment_monthly,installment_term,url,image_url,page
Planşet Lenovo Tab 10.1 4GB/128GB (ZAEJ0176UZ),1722023,329.00,479.00,-31 %,13.71,24 ay,https://birmarket.az/product/1722023-planshet-lenovo-tab-10-1-4gb-128gb-zaej0176uz,https://strgimgr.b-cdn.net/img/product/280/99a10402-1b10-48cd-aa39-3dbe7adcad55.jpeg,13
Planşet Blackview Tab 20 WiFi 4GB/64GB Field Green,1723628,,375.00,,31.25,12 ay,https://birmarket.az/product/1723628-planshet-pda-blackview-tab-20-wifi-4gb-64gb-field-green,https://strgimgr.b-cdn.net/img/product/280/5cac7e9d-146c-4b33-886f-d26b9977d921.jpeg,13
Planşet Blackview Tab 20 WiFi 4GB/64GB Interstellar Grey,1723637,,374.99,,62.50,6 ay,https://birmarket.az/product/1723637-planshet-pda-blackview-tab-20-wifi-4gb-64gb-interstellar-grey,https://strgimgr.b-cdn.net/img/product/280/61d86e03-951c-4b76-a4d6-71af159cb9c7.jpeg,13
Planşet CCIT KT-301 Max Plus Blue,1642310,,130.00,,7.23,18 ay,https://birmarket.az/product/1642310-planset-kt-301-max-plus,https://strgimgr.b-cdn.net/img/product/280/acece415-7459-474f-b156-1b31466d50c1.jpeg,13
Planşet Blackview Tab 60 Pro 8GB/128GB LTE Volcano Grey,1723758,399.00,485.00,-18 %,22.17,18 ay,https://birmarket.az/product/1723758-planshet-pda-blackview-tab-60-pro-set-8gb-128gb-lte-volcano-grey,https://strgimgr.b-cdn.net/img/product/280/298fe3ad-3079-4721-99b1-bfecb48a4b5a.jpeg,13
Planşet Blackview Zeno 1 4GB/64GB LTE Rock Black,1723879,,465.00,,38.75,12 ay,https://birmarket.az/product/1723879-planshet-pda-blackview-zeno-1-4gb-64gb-lte-rock-black,https://strgimgr.b-cdn.net/img/product/280/77dfa2f2-0d18-461e-b621-1b95640d8ff5.jpeg,13
Planşet Blackview Zeno 1 6GB/256GB LTE Rock Black,1723902,,490.00,,40.84,12 ay,https://birmarket.az/product/1723902-planshet-pda-blackview-zeno-1-6gb-256gb-lte-rock-black,https://strgimgr.b-cdn.net/img/product/280/3c744af9-4925-4dab-8dd5-fe09950c521e.jpeg,13
Planşet Modio M69 6GB/128GB Pink,1262245,,149.98,,8.34,18 ay,https://birmarket.az/product/1262245-planshet-modio-m69-6gb-128gb-pink,https://strgimgr.b-cdn.net/img/product/280/4be391d1-addb-4e5f-bc7c-b5e85ad7eb03.jpeg,13
Planşet Discover T5 8″ 6GB/256GB Black,1171253,128.97,200.00,-36 %,7.17,18 ay,https://birmarket.az/product/1171253-planshet-discover-t5-black-disc_t5_black,https://strgimgr.b-cdn.net/img/product/280/fc20bce9-8cea-43a5-bb42-447557ace51b.jpeg,13
Planşet Atouch KC64 7 8GB/256GB Green,1501970,148.97,200.00,-26 %,8.28,18 ay,https://birmarket.az/product/1501970-planshet-atouch-kc64-7-8gb-256gb-green,https://strgimgr.b-cdn.net/img/product/280/70ca636b-cfe4-49fd-8f85-244e354f8ff3.jpeg,13
"Planşet Modio M63 4GB/128GB Yaşıl + Çəhrayı 10"" - Modio M63 green + Modio M63 pink",1379335,248.97,400.00,-38 %,13.84,18 ay,https://birmarket.az/product/1379335-planshet-modio-m63-4gb-128gb-yashil-chehrayi-10-modio-m63-green-modio-m63-pink,https://strgimgr.b-cdn.net/img/product/280/bc82d657-2287-46f7-899f-8e3dff5e3668.jpeg,13
Planşet G-tab T7 Pink,1215363,,148.99,,8.28,18 ay,https://birmarket.az/product/1215363-g-tab-t7,https://strgimgr.b-cdn.net/img/product/280/dd776893-5071-49b8-8c06-fd2dd48eaff4.jpeg,13
Planşet Modio M130 8GB/256GB Green,1045765,,256.00,,85.34,3 ay,https://birmarket.az/product/1045765-planshet-modio-m130-8gb-256gb-green,https://strgimgr.b-cdn.net/img/product/280/04b487ff-489d-4dd1-bf07-5ca574a9f76f.jpeg,14
Planşet Oteeto Tab 15 8GB/512GB Blue,1082587,,189.00,,63.00,3 ay,https://birmarket.az/product/1082587-plashet-oteeto-tab15-8gb-512gb-blue,https://strgimgr.b-cdn.net/img/product/280/10a076c2-ee5d-4d4d-ad44-61e5ed1e88a4.jpeg,14
Planşet CCIT Kids Tablet x Combo Purple,1085082,109.97,200.00,-45 %,6.11,18 ay,https://birmarket.az/product/1085082-planshet-ccit-kids-tablet-x-combo-purple,https://strgimgr.b-cdn.net/img/product/280/8a42187d-75fe-4e67-a790-2b3c70b8daa0.jpeg,14
